Region,Income,type
Hamburg,24404.0,2
Steinwerde,7623.2,2
Gut Moor,17548.3,2
Moorburg,20183.6,2
Finkenwerd,19031.2,2
Hamburg-Al,43265.2,2
HafenCity,72406.2,2
Neustadt,23323.9,2
St.Pauli,16380.6,2
St.Georg,28383.9,2
Hammerbroo,12744.2,2
Borgfelde,15971.0,2
Hamm,17279.1,2
Horn,12138.8,2
Billstedt,11520.4,2
Billbrook,7727.1,2
Rothenburg,10854.6,2
Veddel,7611.5,2
Wilhelmsbu,10589.3,2
Altona-Alt,19232.2,2
Sternschan,19593.0,2
Altona-Nor,18725.2,2
Ottensen,26310.3,2
Bahrenfeld,21816.6,2
Groß Flott,48368.5,2
Othmarsche,70406.1,2
Lurup,14172.5,2
Osdorf,22789.5,2
Nienstedte,64635.1,2
Blankenese,66408.3,2
Iserbrook,23253.7,2
Sülldorf,24001.4,2
Rissen,37865.4,2
Eimsbüttel,25758.2,2
Rotherbaum,40879.5,2
Harvestehu,72010.6,2
Hoheluft-W,30291.2,2
Lokstedt,25696.3,2
Niendorf,25581.0,2
Schnelsen,21792.4,2
Eidelstedt,18218.6,2
Stellingen,19908.3,2
Hoheluft-O,34217.9,2
Eppendorf,38465.5,2
Groß Borst,25384.9,2
Alsterdorf,28469.8,2
Winterhude,35475.5,2
Uhlenhorst,44518.5,2
Hohenfelde,26170.4,2
Barmbek-Sü,22783.4,2
Dulsberg,12987.5,2
Barmbek-No,19677.4,2
Ohlsdorf,27982.1,2
Fuhlsbütte,25055.2,2
Langenhorn,18235.7,2
Eilbek,22529.4,2
Wandsbek,18158.2,2
Marienthal,37719.8,2
Jenfeld,11682.6,2
Tonndorf,20350.5,2
Farmsen-Be,18487.5,2
Bramfeld,18772.5,2
Steilshoop,11905.6,2
Wellingsbü,52600.6,2
Sasel,34302.7,2
Poppenbütt,31816.7,2
Hummelsbüt,20858.8,2
Lemsahl-Me,42580.2,2
Duvenstedt,34145.6,2
Wohldorf-O,52032.0,2
Bergstedt,28840.6,2
Volksdorf,35505.6,2
Rahlstedt,18977.4,2
Lohbrügge,16105.6,2
Bergedorf,20028.4,2
Curslack,21412.2,2
Altengamme,27036.4,2
Neuengamme,24236.1,2
Kirchwerde,23396.4,2
Ochsenwerd,23623.7,2
Reitbrook,21942.3,2
Allermöhe,23932.5,2
Billwerder,17447.2,2
Moorfleet,18429.4,2
Tatenberg,24435.3,2
Spadenland,22806.8,2
Neuallermö,13476.8,2
Harburg,10310.5,2
Wilstorf,14576.9,2
Rönneburg,20735.2,2
Langenbek,19040.7,2
Sinstorf,18525.9,2
Marmstorf,22021.9,2
Eißendorf,18916.6,2
Heimfeld,16484.6,2
Hausbruch,15857.2,2
Neugraben-,16673.5,2
Francop,22292.4,2
Neuenfelde,16595.1,2
Cranz,18488.9,2
Kleiner Gr,7623.2,2
Waltershof,19031.2,2
Neuland,17548.3,2
Altenwerde,20183.6,2
Cuxhaven,22081.0,
Harburg,25670.0,
Lüchow-Dannenberg,21051.0,
Lüneburg,20942.0,
Rotenburg (Wümme),22709.0,
Heidekreis,21070.0,
Stade,22944.0,
Uelzen,21284.0,
Schwerin,19155.0,
Nordwestmecklenburg,19343.0,
Ludwigslust-Parchim,20105.0,
Lübeck,20363.0,
Neumünster,19233.0,
Dithmarschen,22866.0,
Herzogtum Lauenburg,23515.0,
Ostholstein,23068.0,
Pinneberg,24705.0,
Segeberg,23265.0,
Steinburg,21625.0,
Stormarn,25486.0,
